created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat May 30 03:49:37 +0000 2020;1266577480971886592;"Surabaya.. 😎  Kesembuhan nenek Kamtin (100 tahun), tentu menjadi motivasi bagi para pasien Corona bahwa peluang sembuh amatlah besar. Beliau berpesan, bahwa disiplinlah vaksin paling tokcer untuk virus corona saat ini.   https://t.co/9EhlccgGV1";0;1;1;4;in;919616833002512385;1266577480971886592;SahabatSaber;https://twitter.com/SahabatSaber/status/1266577480971886592
Sat May 30 00:49:32 +0000 2020;1266532161324105728;"Survivor Tertua Berusia 100 Tahun Sembuh dari COVID-19 di Surabaya, Ini Rahasia 'Vaksin' Sang Nenek https://t.co/0k0KAY5BCd";0;0;3;4;in;58880688;1266532161324105728;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1266532161324105728
Fri May 29 21:08:02 +0000 2020;1266476416960327680;"Nenek 100 Tahun di Jatim Sembuh dari Covid-19, Khofifah Sebut Ada Vaksin Paling Tokcer: Seorang nenek berusia 100 tahun bernama Kamtin, warga asal Jalan Gresik PPI Krembangan Surabaya, Jawa Timur (Jatim) dinyatakan sembuh dari COVID-19. https://t.co/2tQzGRFS4m";1;1;1;23;in;47596019;1266476416960327680;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1266476416960327680
Thu May 28 10:56:15 +0000 2020;1265960068215746560;"@ultramen52 @BambangTriwanto @pwardana2000 @bonekcasuals @BanggaSurabaya @SapawargaSby @TICSby @e100ss @satpolppsby @aslisuroboyo @sparklingSBY @Commandsurabaya @infosurabaya @beritalimacom @JatimPemprov @KhofifahIP @EmilDardak @RoroMenduttt_ @sits_dishubsby @humasprovjatim @KominfoJatim @didonkz @evndari @PDI_Perjuangan @kanim_surabaya @RadioElshinta @bakohumassda @BNPB_Indonesia @bpbd_jatim @suarasidoarjofm @mercnews @boneksuperfans @sehatsurabayaku @basmanbasri_ @dindonnk @yimdn_ @bqsrmdhn @dinsoskotasby @RevandaDF @mhnsat @faizalgery @synkkamu1 @agungmaulanaf25 @suprasic58 @Majapahit29 @VaRel2Alvaro @Arysandramonic1 @Woho_Hendra @lintangnvlaR @Danugrahrobby Minyak kayu putih diteteskan pd tisu &amp  ditaruh dimasker &amp  dipakai Dg therapy ini pasien corona ada yg sembuh Utk yg sehat cara ini bs dilakukan utk cegah penularan Selama blm ada vaksin tdk ada salahnya therapy ini dicoba utk cegah &amp  obati corona &amp  putus mata rantai penyebarannya";0;1;0;1;in;3225334412;1261942967817756672;HeryKardono;https://twitter.com/HeryKardono/status/1265960068215746560
Thu May 28 07:55:09 +0000 2020;1265914493357314048;"Bayangkan hujan adalah vaksin Covid-19. Niscaya akan banyak orang Surabaya masuk angin, tapi sembuh dari tuh virus.";0;0;0;1;in;1152205847977586688;1265914493357314048;Rieldonft;https://twitter.com/Rieldonft/status/1265914493357314048
Fri May 22 05:28:02 +0000 2020;1263703143067443201;"3). TA 2008 - 2011 INDONESIA Punya Proyek Produksi Vaksin Utk  Menanggulangi Corona Virus (FB, SARS, MERS) Di Bio Farma &amp  Unair Surabaya Dg Anggaran Rp. 2,2T. Proyek Ini Sdh 90% Hampir Selesai. Bahkan ABSL3 Di Unair Sdg Diresmikan WAPRES, Seharusnya Dpt Digunakan Utk COVID-19 https://t.co/doUSbb3tJe";1;2;2;1;in;1212924743529033729;1263703121210957824;AletheaDina;https://twitter.com/AletheaDina/status/1263703143067443201
Tue May 19 20:07:57 +0000 2020;1262837417695776768;"https://t.co/Wq5hbzNjSR #Surabaya #Jatim #JawaTimur #PSBB #psbbbandung #PSBBJakarta #PSBBBelumDilonggarkan #psbbmalangraya #psbbsurabaya #PSBBKedodoran #Jokowi #vaksin #COVID19 #Covid_19";0;0;0;1;qme;103551225;1262837417695776768;tribunkaltim;https://twitter.com/tribunkaltim/status/1262837417695776768
Tue May 19 03:40:27 +0000 2020;1262588905087361024;"Equity World Surabaya : Emas Naik Lebih Dari 1 Persen Dari Harapan Vaksin Covid 19 – Equityworld Futures Surabaya https://t.co/CIUSvBiVvX";0;0;0;0;in;775919329103585280;1262588905087361024;equityworld_sby;https://twitter.com/equityworld_sby/status/1262588905087361024
Tue May 19 02:31:47 +0000 2020;1262571625523720193;"Equity World Surabaya : Saham Asia Di Perkiarakan Naik Setelah Data Percobaan Vaksin Covid 19 Berjalan Sukses https://t.co/AanePMDbmG";0;0;0;0;in;775919329103585280;1262571625523720193;equityworld_sby;https://twitter.com/equityworld_sby/status/1262571625523720193
Tue May 19 02:08:05 +0000 2020;1262565661928128512;"Equity World Surabaya : Uji Coba Vaksin Covid 19 Angkat Bursa Di Wall Street https://t.co/NOKGjyyFVr";0;0;0;0;in;775919329103585280;1262565661928128512;equityworld_sby;https://twitter.com/equityworld_sby/status/1262565661928128512
