created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 13 14:40:41 +0000 2021;1349365759772749825;"@jcowacko Disurabaya sempet nol gak ada yang kena covid tapi pas waktu mau pilkada, trus skrng pilkada udah kelar denger2 Surabaya ngelonjak lagi smpai sekarang? apa pilkada itu vaksin yang sebenarnya dan gratis tidak memerlukan biaya, malah kita yang dapet uang dari calon pemilihan wkwkwk";0;1;0;0;in;1344773720599003136;1349307802590695426;warwer96594465;https://twitter.com/warwer96594465/status/1349365759772749825
Wed Jan 13 13:25:59 +0000 2021;1349346958662533121;"Pemprov Jatim Distribusikan Vaksin Covid-19 Untuk Surabaya Raya  https://t.co/yR7VQ8Xk8I https://t.co/gPhK6pNOHS";0;0;0;0;in;1287907609891094528;1349346958662533121;Investigasitod1;https://twitter.com/Investigasitod1/status/1349346958662533121
Wed Jan 13 11:50:06 +0000 2021;1349322828764520451;"Vaksin Covid-19 untuk Kota Surabaya sudah diterima oleh Dinas Kesehatan Kota Surabaya @sehatsurabayaku. Para tenaga kesehatan (nakes) akan menjadi penerima vaksin di Tahap Pertama ini  Yang lain kapan min? Tunggu informasinya ya teman2. Pasti akan kami sampaikan lagi nanti 🤗🤗 https://t.co/qPBYsi0mp6";0;1;2;6;in;288692148;1349322828764520451;SapawargaSby;https://twitter.com/SapawargaSby/status/1349322828764520451
Wed Jan 13 11:14:57 +0000 2021;1349313982193037312;"15.000 Vaksin Covid-19 Tiba di Kota Surabaya, Disimpan di Gudang Farmasi Pemkot https://t.co/a2VbYPB1Km via @portalsurya";0;0;0;0;in;120097058;1349313982193037312;portalsurya;https://twitter.com/portalsurya/status/1349313982193037312
Wed Jan 13 10:44:09 +0000 2021;1349306234881511424;"Sekitar 1.950.000 warga Kota Surabaya, dengan usia 18 hingga 59 tahun akan menjadi sasaran calon penerima vaksin COVID-19.  https://t.co/LeL9jQEbZw";0;0;1;3;in;18071520;1349306234881511424;antaranews;https://twitter.com/antaranews/status/1349306234881511424
Wed Jan 13 10:14:38 +0000 2021;1349298806836273153;"#DukungSehatkanBangsa Kanit Binmas Polsek Seputih Surabaya Bripka Kade Agus P, S.H., M.H meajak masyarakat untuk vaksinasi demi memulihkan Indonesia dari pandemi. Selain disiplin protokol kesehatan, vaksin Covid-19 adalah salah satu upaya dan harapan Indonesia bebas dari Covid-19 https://t.co/MI8ZGVhNFR";1;0;0;4;in;923027485435899904;1349298806836273153;Polsek_sebaya;https://twitter.com/Polsek_sebaya/status/1349298806836273153
Wed Jan 13 10:09:06 +0000 2021;1349297413555507202;"#DukungSehatkanBangsa Kapolsek Seputih Surabaya AKP YOFFI KURNIAWAN,  S.E., S.H., M.H meajak masyarakat untuk vaksinasi demi memulihkan Indonesia dari pandemi. Selain disiplin protokol kesehatan vaksin Covid-19 adalah salah satu upaya dan harapan Indonesia terbebas dari Covid-19. https://t.co/87jvJZJ2Uu";1;0;0;4;in;923027485435899904;1349297413555507202;Polsek_sebaya;https://twitter.com/Polsek_sebaya/status/1349297413555507202
Wed Jan 13 09:52:36 +0000 2021;1349293258258620416;"Vaksin Covid-19 Mulai Didistribusi ke Tiga Daerah Surabaya Raya https://t.co/DB3UgN6vFb";0;1;3;3;in;848614550;1349293258258620416;e100ss;https://twitter.com/e100ss/status/1349293258258620416
Wed Jan 13 09:52:13 +0000 2021;1349293163266019329;"Keterbatasan Tempat, Separuh Vaksin COVID-19 Didistribusikan ke Surabaya Raya https://t.co/gaAwIMPoSn";0;0;0;0;in;1234774867704049664;1349293163266019329;telisik_id;https://twitter.com/telisik_id/status/1349293163266019329
Wed Jan 13 09:34:04 +0000 2021;1349288593903165440;"Sebanyak 15 ribu vaksin COVID-19 telah didistribusikan ke wilayah Surabaya Raya, hari ini Rabu (13/1). #publisherstory https://t.co/vLAQxlXmLn";0;0;0;0;in;759692754985242625;1349288593903165440;kumparan;https://twitter.com/kumparan/status/1349288593903165440
